15/06; Всемирный день распространения информации о злоупотреблении в отношении с пожилыми людьми (2011)
15/06; Всемирный день ветра (Global Wind Day, 2007)
15/06; День юннатского движения (1918)
16/06; День защиты детей Африки (1991)
16/06; Международный день семейных денежных переводов (2015)
17/06; Всемирный день борьбы с опустыниванием и засухой (1995)
17/06; Открылся кинотеатр "Родина" (в 1958 году)
18/06; День устойчивой гастрономии
18/06; День службы военных сообщений ВС
19/06; Международный день борьбы с сексуальным насилием в условиях конфликта (2015)
20/06; Всемирный день беженцев (2001)
20/06; День специалистов минно-торпедной службы ВМФ (1997)
21/06; Всемирный день гидрографии
21/06; Международный день йоги
21/06; Международный день скейтбординга
21/06; Всемирный день гуманизма (World Humanist Day)
21/06; День селфи
21/06; День кинологических подразделений МВД РФ
21/06; В Нижнетагильском заводском поселке открылось первое почтовое отделение (в 1808 году)
22/06; День памяти и скорби, начало Великой Отечественной войны (в 1941 году)

23/06; Международный Олимпийский день
23/06; День государственной службы Организации Объединённых Наций
23/06; Международный день вдов (International Widows Day)
23/06; День балалайки

25/06; День работников статистики
26/06; Международный день в поддержку жертв пыток
26/06; Международный день борьбы со злоупотреблением наркотическими средствами и их незаконным оборотом
27/06; Всемирный день рыболовства (1985)
27/06; День микро, малых и средних предприятий (2017)
28/06; День изобретения китайцами зубной щетки (в 1497 году)
29/06; День партизан и подпольщиков
30/06; День Астероида (Тунгусский метеорит, 1908)
30/06; Международный день парламентаризма
30/06; Открылся первый в Нижнем Тагиле стадион "Локомотив" (совр. стадион спорткомплекса "Юность") (в 1928 году)
Вс1/06; День мелиоратора
Вс2/06; День работников текстильной и легкой промышленности
Вс3/06; День медицинского работника
Сб5/06; День молодежи
Сб5/06; День изобретателя и рационализатора


01/07; День реставратора
02/07; Международный день уфолога
02/07; Международный день спортивного журналиста
03/07; День ГИБДД (ГАИ МВД СССР был образован в 1936 году)

05/07; Международный день трудоголика
06/07; Международный день кардиолога
06/07; Организация Объединённых Наций Всемирный день поцелуя
07/07; Иван Купала
08/07; День семьи, любви и верности

10/07; День воинской славы России. День победы русской армии под командованием Петра Первого над шведами в Полтавском сражении (в 1709 году)
11/07; Всемирный день народонаселения
11/07; Всемирный день шоколада
11/07; День художника по свету (светооператора)
12/07; День бортпроводника

15/07; Всемирный день навыков молодёжи
16/07; Международный день змеи
16/07; Праздник Нептуна в детских лагерях
17/07; Всемирный день международного уголовного правосудия
17/07; Всемирный день эмодзи
17/07; День этнографа
17/07; День авиации ВМФ
18/07; Международный день Нельсона Манделы

20/07; Международный день шахмат

22/07; Всемирный день мозга
23/07; Всемирный день китов и дельфинов
24/07; Международный день заботы о себе
24/07; Международный день БДСМ
24/07; День кадастрового инженера
24/07; День флориста
24/07; Утвержден первый герб города Нижний Тагил (в 1973 году)
25/07; День сотрудника органов следствия Российской Федерации
25/07; День речной полиции
26/07; День эсперанто
27/07; Международный день гамбургера
28/07; День крещения Руси
28/07; День PR-специалиста
29/07; Международный день тигра
30/07; Международный день дружбы
30/07; Всемирный день борьбы с торговлей людьми

Сб1/07; Международный день кооперации
Вс1/07; День работников морского и речного флота
Вс2/07; День рыбака
Вс2/07; День российской почты
Вс3/07; День металлурга
Сб4/07; День работника торговли
Пт5/07; Международный день сисадмина
Вс5/07; День Военно-Морского Флота


